Mes/ano,ICV
Jan-70,71.6
Feb-70,72.5
Mar-70,73.5
Apr-70,74.5
May-70,75.2
Jun-70,76.3
Jul-70,76.9
Aug-70,78.1
Sep-70,80
Oct-70,80.9
Nov-70,81.7
Dec-70,82.9
Jan-71,84.7
Feb-71,86.3
Mar-71,88.8
Apr-71,90.9
May-71,91.5
Jun-71,93.4
Jul-71,94.6
Aug-71,95.9
Sep-71,96.7
Oct-71,97.8
Nov-71,99.1
Dec-71,100
Jan-72,102.2
Feb-72,103.7
Mar-72,104.7
Apr-72,106
May-72,106.7
Jun-72,107.9
Jul-72,110.4
Aug-72,112.3
Sep-72,114.1
Oct-72,116.1
Nov-72,117.1
Dec-72,117.5
Jan-73,118.9
Feb-73,120.2
Mar-73,122.1
Apr-73,124.2
May-73,125.2
Jun-73,126.2
Jan-73,127.6
Aug-73,128.9
Sep-73,130.5
Oct-73,132
Nov-73,133.2
Dec-73,133.9
Jan-74,135.1
Feb-74,139.9
Mar-74,145.8
Apr-74,153.2
May-74,156.1
Jun-74,158.1
Jul-74,161.6
Aug-74,164.7
Sep-74,167.4
Oct-74,170.2
Nov-74,174
Dec-74,178.1
Jan-75,183.1
Feb-75,187.5
Mar-75,189.9
Apr-75,194.1
May-75,197.8
Jun-75,204
Jul-75,208
Aug-75,215
Sep-75,219
Oct-75,223
Nov-75,227
Dec-75,230
Jan-76,238
Feb-76,251
Mar-76,256
Apr-76,263
May-76,270
Jun-76,275
Jul-76,280
Aug-76,290
Sep-76,298
Oct-76,305
Nov-76,310
Dec-76,318
Jan-77,329
Feb-77,343
Mar-77,359
Apr-77,375
May-77,383
Jun-77,393
Jul-77,400
Aug-77,407
Sep-77,415
Oct-77,424
Nov-77,436
Dec-77,449
Jan-78,456
Feb-78,474
Mar-78,486
Apr-78,495
May-78,510
Jun-78,535
Jul-78,558
Aug-78,572
Sep-78,586
Oct-78,602
Nov-78,617
Dec-78,628
Jan-79,653
Feb-79,667
Mar-79,707
Apr-79,731
May-79,746
Jun-79,778
Jul-79,812
Aug-79,840
Sep-79,849
Oct-79,936
Nov-79,980
Dec-79,1049
Jan-80,1096
Feb-80,1133
Mar-80,1182
Apr-80,1237
May-80,1309
Jun-80,1374
